Model,Split,Train Acc,Test Acc,Log Loss,Brier,Est. ROI
LightGBM,A,0.6995620271884421,0.4945054945054945,0.6932828741651379,0.25007123825384625,345.4545454545454
XGBoost,A,0.7208349923212559,0.5164835164835165,0.6917961754429721,0.24949514865875244,1018.1818181818182
RandomForest,A,0.7186735680564246,0.5347985347985348,0.6913320073956153,0.24912611716594177,-109.0909090909091
CatBoost,A,0.9348159945395598,0.43956043956043955,0.7237258118593856,0.2651117278162091,545.4545454545447
LogReg,A,0.5681701837210625,0.5604395604395604,0.7789912540430336,0.2850504397322639,2036.3636363636465
MLP,A,0.4664126045162391,0.43956043956043955,1.2523006143675997,0.43256622256375016,0.0
Stacking,A,0.7165121437915932,0.5018315018315018,0.6891840021820054,0.24806357949504065,309.0909090909089
SoftVoting,A,0.8517149195153859,0.47985347985347987,0.6981201303188463,0.25260578089374097,163.6363636363634
LightGBM,B,0.6626781147241505,0.48717948717948717,0.6979795483559136,0.2524173453526534,736.3636363636365
XGBoost,B,0.643176835951772,0.4542124542124542,0.6940921759692108,0.2504741847515106,0.0
RandomForest,B,0.8061746437705517,0.5018315018315018,0.6933049530740893,0.25014099407547896,-181.81818181818207
CatBoost,B,0.8422999634636463,0.5018315018315018,0.6962532485510009,0.2524097956026908,736.3636363636357
LogReg,B,0.5666788454512239,0.5604395604395604,0.8867782486861758,0.31837146417987877,1936.363636363646
MLP,B,0.5702868103763244,0.5604395604395604,1.0343030668883482,0.34742124996528456,2036.3636363636465
Stacking,B,0.6409389842893679,0.47985347985347987,0.6931619026977316,0.2500115005858031,0.0
SoftVoting,B,0.7573986116185605,0.5128205128205128,0.6924930598368939,0.24980005688681028,1154.5454545454543
LightGBM,C,0.7891032325338895,0.4432234432234432,0.7033601861101928,0.2550848197337196,-118.18181818181819
XGBoost,C,0.5928050052137643,0.5604395604395604,0.6905486593886941,0.248701274394989,0.0
RandomForest,C,0.693169968717414,0.4725274725274725,0.6960186458833719,0.2514349993598138,181.8181818181818
CatBoost,C,0.9992179353493222,0.5091575091575091,0.7102573602609648,0.25814595891934566,818.1818181818174
LogReg,C,0.5620437956204379,0.5604395604395604,1.2196211510256973,0.37693335929108346,2027.272727272737
MLP,C,0.5260688216892596,0.4981684981684982,0.9617452243991833,0.3333687194995179,1227.2727272727277
Stacking,C,0.8026590198123045,0.5018315018315018,0.693128627823308,0.24999106189129766,0.0
SoftVoting,C,0.9718456725755996,0.4725274725274725,0.6983467461112469,0.25257943704693764,-145.4545454545455
LightGBM,D,0.9339229968782519,0.5531135531135531,0.6866747346437941,0.24661684513916388,2327.2727272727316
XGBoost,D,0.6815816857440167,0.5201465201465202,0.6891078323486298,0.24789199233055115,1954.54545454546
RandomForest,D,0.9968782518210197,0.5311355311355311,0.6933051268776241,0.2500428408164542,636.363636363636
CatBoost,D,0.9942767950052029,0.5311355311355311,0.7454140373732779,0.26766446515432346,2500.000000000006
LogReg,D,0.5879292403746098,0.5604395604395604,1.9774636917722683,0.41775605760022133,1818.1818181818276
MLP,D,0.4916753381893861,0.43956043956043955,5.094007294461088,0.5599588680867313,0.0
Stacking,D,0.5613943808532779,0.5604395604395604,0.6870423722727007,0.24694881920751874,-127.2727272727274
SoftVoting,D,0.9708636836628513,0.5567765567765568,0.6913219272772608,0.24863303664712832,2354.54545454546
